0.00000000	-1.00000000	-1.00000000	-1.00000000	-1.00000000
0.30000001	-1.02799282	-1.02634244	-1.02540937	-1.02512314
0.60000002	-1.11100876	-1.10700844	-1.10456885	-1.10302292
0.90000004	-1.24657267	-1.24602278	-1.24344718	-1.24089701
1.20000005	-1.43100762	-1.43865394	-1.44141912	-1.43892819
1.50000000	-1.66361895	-1.67292692	-1.67869004	-1.67877594
1.80000007	-1.92691964	-1.94018213	-1.94197276	-1.94265680
2.10000014	-2.20567819	-2.21669851	-2.21891312	-2.22005338
2.40000010	-2.49090428	-2.50115691	-2.50317892	-2.50414034
2.70000005	-2.77988353	-2.78919342	-2.79115944	-2.79275151
3.00000000	-3.07130383	-3.07983377	-3.08179742	-3.08319813
